|C|A|B
0|0000000001.jpg|An orange monochromatic picture depicting a group of chariots mounted by wrathful mummies  drawn by mummified horses|
1|0000000002.jpg|A half dozen half-naked brown orcs on a snow-covered battlefield, some of them mounted on the mammoth-like animals, with angry monkey’s faces and long sharp tusks. In the centre is a big orc on such an animal with an eagle soaring behind. On the left are two orcs on similar animals, the one behind the front one is carrying  a totem|
2|0000000003.jpg|Two humans in front of a gray monochrome picture. The left-hand one is an old man in a wizard hat decorated with a watch fixed to it. He has a long firearm sheath and a long sword one across his chest and a great hook in place of his left hand. On the right of him is a small masked boy, his right hand holding a vertical flagstaff with a waving flag on top of it|
3|0000000004.jpg|A gray chitin-plated worm-like monster with 4 smaller front  and 2 greater hind limbs, a huge protruding brain, overhanging a tiny face with short tentacles over a small mouth, a pair of slender bat-like wings,  a powerful dragon-size tail, positioned in front of the picture with thick tree trunks behind|
4|0000000005.jpg|2 iron-helmeted heads of dwarf warriors against a white background|
5|0000000006.jpg|A giant overmuscled half-naked man in an executioner's hood, with an ugly scar running down the right side of his chest, walking left to right across the picture. In his left hand he is holding a huge axe, in his right hand the left horn of a two-horned scull|
6|0000000007.jpg|A nude gray-skin woman with orange and yellow tattoos, her hair and hands on fire, with her back toward the viewer and looking over her left shoulder, against a dark-blue background. On the left of her in the background is a small hovering island with a tree on fire and plenty of bones on the ground|
7|0000000008.jpg|A man in a brown skin armor with dark gray steel plates, high pointed sharp dark gray plates on his left hand and shoulder, a smaller one on his right hand, wearing a triangle-shaped hood, standing against a light gray background|
8|0000000009.jpg|A man in a fur loincloth, skeletal bone-styled armor on his arms and chest and a skull-face plate on his face, with an axe in his right hand, a smaller axe and a sickle on either side behind his belt. Two ravens, two spears stuck in the ground, mountains and spruces in a gray mist fill the background|
9|0000000010.jpg|A dark image with horde of angry zombies with blind white eyes. They fill hilly terrain with dark-yellow sky on background|
10|0000000011.jpg|2 angry dwarfs in full plate armor on gray platform on black background. They are holding spears and wooden shields in their hands|
11|0000000012.jpg|An anthropomorphic dark-brown squatting monster with hooves, deer horns, dark lion mane and elongated bloody head-bone without skin, staying on black background|
12|0000000013.jpg|A frog-like blue monster with 6 limps, big dragon-like wings and big orange eyes|
13|0000000014.jpg|A giant red demon in a butcher's apron. He is very fat, he has many full body wired wounds, large fangs, huge horns, he is holding a dark hook in left hand and big axe from straight blade attached to skull and spine of monster. He is staying on blood red background|
14|0000000015.jpg|A big silver-gray dead lord of dead with 6 spine-tentacles on his back staying on back of picture, he is in helm with trident on the forehead. He points forward to army of dead by staff with a tip in the form of flat skull, which glows with a death blue light. On background there is a black pyramid and many rain clouds|
15|0000000016.jpg|An anthropomorphic white monster with rat head on gradient background, changing from light-gray on the top to dark-gray on the bottom. He is in a cloth clothing in light-gray, dark-gray and pale orange elements. On his belt there is a sword|
16|0000000017.jpg|An anthropomorphic humped gray monster with rat head and tail, in copper coloured skin clothes with hood-mask and iron plate shoulder pads on white background. He is holding the pistol in left hand and gray ball bomb in right hand. He has many alchemical flasks on the belt|
17|0000000018.jpg|A dwarf kind with big hammer in right hand, big beard braids with skulls at ends. He is holding hat like a black totem with many skulls. He is staying on the yellow and red background|
18|0000000019.jpg|A dwarf kind with big axe with flat skull in right hand, red round shield with flat skull hand. He has big beard braids. He is holding hat like a red totem with skull. He is staying on yellow cracked ground on the white background |
19|0000000020.jpg|A view from above on a pale violet old bald man with big white beard looking up. He is in mail armor with plates whit spikes on his shoulders. He is holding the big hammer in his hands. He is staying on white background|
20|0000000021.jpg|A woman priest in red and gray robe with schematic eye on her belt. She is turned left of picture. She is holding a big piece of old paper in her left hand and big thin staff with schematic eye at the top. She is staying on white background|
21|0000000022.jpg|A black-white monochromatic picture with 4 zombies in front, angry vampier lord on dead horse on back of picture. Vampier is holding the scythe in his right hand|
22|0000000023.jpg|A black-white monochromatic picture with a man in robe with plate armor on the upper body, skull-like knee pad, tall hat. He has a sword on left of his belt. He is holding rifle in right hand. He is turned left of the picture|
23|0000000024.jpg|A man in dark cape with hood in a swamp. He is holding elongated animal skull on his head. There is a dish with human entrails and bones in front of him|
24|0000000025.jpg||Черно-белая картинка с мужчиной с голым торсом на коне среди шипастых растений. У мужчины на голове рогатый шлем, в левой руке шипастый щит, в правой руке топор
25|0000000026.jpg||На переднем плане на скалистом острове стоит маг в длинной темно-фиолетовой мантии в капюшоне с длинной бородой и большим посохом. За его спиной на острове прислонившись к земле стоит зеленое антропоморфное чудовище с жабрами на голове. Слева на фоне расположен корабль в шторме, српава на фоне на высокой скале стоит храм с четырьмя колоннами. На земле под магом лежит много черепов. Фон сине-черный
26|0000000027.jpg||Мужчина в доспехах и светлой тканевой одежде. На его плечах висит плащ бледно-малинового цвета. В руках он держит большой двуручный меч острием в пол. У мужчины из щели в шлеме виднеются желтые светящиеся глаза. На фоне коричневая стена с большим бверным проемом и горящий факел на стене.
27|0000000028.jpg||Темноволосая женщина в белой тканевой одежде с большим количеством вырезов. На ее руках и ногах темные металлические эеленты с длинными шипами. Женщина стоит левым боком к зрителю. На фоне фиолетовые, синие и белые облака
28|0000000029.jpg||Антропоморфный монстр с оранжевым угловатым телом, стоит правым боком к зрителю и смотрит на него. На груди, плечах и голове монстра расположены темные бронированные наросты с выступающими шипами. В руках он держит длинную палку. Вокруг его глаз находятся большие желтые пятна. Фон молочного цвета
29|0000000030.jpg||Женщина в высоких сапогах, черном корсете с глубоким декольте и легкой мантии. Она стоит в оранжево-белой комнате, в углублении у закрытой двойной двери, опершись спиной на одну стенку и левой ногой – на другую, и смотрит на зрителя
30|0000000031.jpg||Очень мускулистая лысая женщина в длинном черном платье без рукавов с круглым вырезом на груди, надевающая на левую руку длинную перчатку. Вокруг ее правого глаза расположено большое черное пятно, над и под левым глазом расположены два маленьких черных пятна. Она стоит на темно-оранжевом фоне
31|0000000032.jpg||Полуразложившийся зомби в рогатом шлеме и панцире на спине, вдоль его хребта на доспехах расположен ряд загнутых шипов. В обоих руках он сжимает булаву. Зомби повернут вправо и кричит перед собой. Он расположен на желтом фоне
32|0000000033.jpg||Антропоморфный монстр с оранжевым мускулистым телом и коротким хвостом. В руках он сжимает большую булаву, которую держит на плече. Он стоит левым боком к зрителю и смотрит перед собой. На его голове шлем без щели, покрытый множеством толстых шипов. Он расположен на оранжевом фоне
33|0000000034.jpg||На сцене стоит иссохший окровавленный мужчина с покрытой бинтами нижней частью тела стоит с одной поднятой рукой, согнутой в локте. На фоне расположены красные закрытые кулисы. Вокруг мужчины расположен столп оранжевого света. Также на фоне расположена девушка, которая смотрит на мужчину с испугом и отползает прочь
34|0000000035.jpg||Злая беловолосая девушка с очень светлой кожей в темно-красном платьей с большим декольте стоит на фоне белой мраморной стены. Также на фоне по бокам расположены бледные заросли какого-то растения
35|0000000036.jpg||Суккуб с длинным хвостом и розово-фиолетовыми крыльями. Она одета в в латексные сапоги выше колен и откровенный корсет. В правой руке она держит большой горящий хлыст. На фоне видна яркая полная луна за неплотными облаками
36|0000000037.jpg||Девушка в красном платье с большим декольте, украшенном поясом с серебрянными украшениями, серебряными наплечниками, с кинжалом в ножнах на левом боку, серебряной плетеной диадемой на голове. К рукам на платье прикреплена мантия того же цвета, что и платье. Девушка стоит в коричнево-сером проеме и опирается правой рукой на стену. В левой руке она держит жезл, который излучает поток оранжевого свете
37|0000000038.jpg||Вампир в черном плаще держит на руках спящую или мертвую светловолосую девушку в белом изорванном платье. На фоне слева расположен замок со статуями грифонов у входа, справа виднеется полная луна
38|0000000039.jpg||Антропоморфный монстр с кожей, головой и хвостом рептилии, дежитн на руках спящую или мертвую темноволосую девушку в белом изорванном платье. На шее монстра висят три человеческих черепа, за спиной у него висит копье. На фоне виднеются толстые стволы деревьев, скрытых в тумане
39|0000000040.jpg||Темноволосая девушка в очень темном зеленом платье с черным плащом на плечах нарсоложена на каменном статуе головы горгульи на темно-оранжевом здании ночью. На фоне виднеются белые домики с фиолетовыми крышами, а также между домиками расположена высокая башня с четырьмя загнутыми вверх шипами.
40|0000000041.jpg||Девушка в доспехах под накидкой стоит на вытянутом черепе монстра и держит в руках меч. За ее спиной расположены еще две девушки в доспехах, одна повернута влево и дежрит в руке посох, а вторая повернута вправо и держит в руке кадило. У всех девушек над головами насположены оранжевые нимбы. На фоне расположена горная гряда и темно-оранжевое небо
41|0000000042.jpg||В скалистой местности стоит великан в одной вовязке с черной головой. В левой руке он держит поднятый меч. Перед ним спиной к зрителю на белом коне расположен мужчина в легком пластинчатом доспехе
42|0000000043.jpg||Мужчина в черном плаще и непроглядном шлеме держит в правой руке у груди большую черную книгу. Внизу фон желтый, сверху – темный. На рисунке на перевднем плане нарисон бледно-желтый круг
43|0000000044.jpg||Девушка в одном черном атласном платье с капюшоном стоит на фоне бело-голубых барельефов. В руке она держит ярко-красный плод
44|0000000045.jpg||В центре рисунка расположена ведьма в красном платье с очень длинной юбкой и в коричневом кожаном корсете. В левой руке она держит светящийся красным череп. Перед ней в воздухе летает книга, из которой ведьма вытягивает бледно-розовую энергию. Вокруг нее ходят скелеты, над ней летает обгромный неполный скелет из черепа, хребта и ребер. На темном фоне видна огромная полная луна
45|0000000046.jpg||На переднем плане расположена голова старика с поврежденным лицом, длинными волосами и острой длинной бородой, одетого в красную угловатую одежду. На позади старика расположен большой китайский дракон.
46|0000000047.jpg||Среди высокиз острых скал, похожих на шипы, летит светло-голубой призрак в баоахоне с треугольным капюшоном, в левой руке он держит лампу 
47|0000000048.jpg||На белом фоне левушка в светло-голубой одежде, украшенной множеством цепочек из синих и голубых драгоценных камней. На ее плечах расположены украшения в виде прозрачных крыльев как у летучей мыши, на колове расположен синий гребень
48|0000000049.jpg||Волк-зомби, покрытый зелеными растениями и со стекающей изо рта желто-зеленой жидкостью, стоит на холмике в заброженном храме. Он расположен правым боком к зрителю и смотрит назад
49|0000000050.jpg||Мужчина с голым торсом, большими красными крытьями как у дракона и большим красным хвостом, одетый в черные штаны с красным поясом, стоит на темно-сером фоне
50|0000000051.jpg||Женщина в темно-фиолетовом остроугольном доспехе с золотыми элементами, в высоком шлеме, держит в руках два кинжала тех же цветов с лезвиями неправильной формы. Фон голубовато-темно-серый
51|0000000052.jpg||Злая мумия с большой алебардой в обеих руках стоит на куче костей на фоне пирамиды и кричит в правую часть картинки
52|0000000053.jpg||Мольшой мускулистый монстр с крыльями как у дракона, горящими зеленым пламенем головой и ртом, большими загнутыми вверх бивнями, в редкой красной броне
53|0000000054.jpg||Синяя рогатая девушка в синей одежде стоит в центре картинки с руками перед собой. Фон зеленый и синий
54|0000000055.jpg||Девушка в маске из драгоценностей, алой накидке с украшенными наплечниками, держит в руках за рукоять меч острием вниз
55|0000000056.jpg||На оранжевом фоне злая мумия в украшенной одежде фараонов стоит на возвышении среди скелетов в египедских одеждах и указывает левой рукой перед собой
56|0000000057.jpg||Антропоморфный монстр с зелено-синей кожей в оранжевой и зеленой одеждерасположен на холмике в лесу. Перед ним лежит череп животного с длинными рогами
57|0000000058.jpg||Четырехрукий монстр в остроугольных латных штанах и наполном нагруднике, оголяющем грудь и живот, его левая верхняя рука также в броне. На его голове расположен сложный остроугольный шлем с тремя шипами, расположенными по кругу. В верхних руках он держит по одному мечу. Монстр расположен в темной пещере, на него сверху падает свет
58|0000000059.jpg||Три антропоморфных существа с темной кожей и голубой раскраской на ней расположены вокруг костра. Один из них расположен спиной к зрителю, второй – левым боком и пьет из рога, третий – вдалеке лицом к зрителю и поднимает что-то в левой руке
59|0000000060.jpg||Красноволосая девушка в черной кожаной одежде и большом черном плаше ночью стоит в арке между колонами, изображающими чудовищ. В обеих руках девушка держит мечи. На фоне расположены два темных здания с оранжевым светом из окон, за ними виднеются лес и горы, в небе видна полная луна
60|0000000061.jpg||Гигантский антропоморфный монстр выше облаков в броне из костей и с огромным молотом в руках идет к маленькому городу, находящемуся ближе к зрителю. Картина ночная
61|0000000062.jpg||Девушка с белыми волосами и мраморно-белой кожей в белой одежде расположена к зрителю левым боком. Фон черны
62|0000000063.jpg||Голова темноволосого мужчины с несколькими шрамами на лице на белом фоне. У мужчины короткая борода
63|0000000064.jpg||Слева расположена смуглая девушка в коричнево-серой одежде с бежевым шарфом и команными налоконтиками. Справа она же, вид сзади. Фон белый
64|0000000065.jpg||Человек в темной одежде с узорчатым нагрудником, треугольным шлемом, который закрывает лицо, рогам на наплечниках. Он держит в правой руке посох с навержием в виде двух загнутых к центру дуг. Вокруг мужчины светится красная энергия, вокруг его головы образован красный нибм. На навершии посоха образована красная сфера из энергии. Фон темно-серый
65|0000000066.jpg||Голова и грудь дворфа с большой бородой. Дворф одет в темно-серый доспех с шерстяными наплечниками. Борода по краям рыжая, в центре седая. Фон синевато-серый
66|0000000067.jpg||Темноволосая девушка в длинном узком красном платье с черным низом. У нее есть большие узкие бардово-черые крылья как у дракона, длинный красный хвост, кривые рога, ярко-красные глаза
67|0000000068.jpg||Мужчина в темно-серых старых доспехах, рогатом шлеме, с плащом на правом плече.
68|0000000069.jpg||Черно-белый рисунок. На нем рогатый человек с очень иссохшим телом, черепообразной головой и длинными белыми волосами расположен левым боком к зрителю и смотрит на череп в руках. Человек почти полностью покрыт узорчатой простыней. На фоне видно много вложенных двуг в друга белых кругов
69|0000000070.jpg||Скелет в коричнево-черной дорогой робе со светлыми металлическими наплечниками и светло-зеленым изумрудным медальоном на груди держит в руках посох с изумрудным навершием. Фон темно-серый
70|0000000071.jpg||Антропоморфное существо с круглой головой без глаз и носа в легкой серой куртке с треугольным капюшоном сидит на полукруге у красного водоема. В руках существо держит тарелкку, из которой в водоем выливается красная жидкость. Живот существа покрыт чем-то похожим на гладкие корни деревьев. На фоне видна каменная набережная и осенний лес 
71|0000000072.jpg||Мужчина с голым торсом, большими крыльями как у архангела, с большой татуировкой на правой половине тела. В нескольких местах картинки находятся всплески энергии, похожие на тлеющие угли. На переднем плане видно несколько цепей в воздухе. Мужчина держит одну из цепей в руках. Эта цепь неплотно обернута вокруг его шею
72|0000000073.jpg||Беловолосая девушка сидит на шкурах животных и держит в руках окровавленное сердце. Девушка одета в очень простую одежду из кусков ткани без рукавов. За девушкой стоят двое мужчин с голыми торсами. Левый мужчина одет в ткань, порывающую ноги, правый мужчина одет в шкуру животного, покрывающего его ноги
73|0000000074.jpg||Антропоморфное существо с растущими назад рогами, толстым хвостом, белыми глазами, острыми ушами, сильно выступающим подбородком. Существо расположено среди ящиков внутри здания, возле выхода из помещения. Существо стоит спиной к зрителю и оборачивается на него. Оно одето в кожаную броню. На левой руке у существа латный рукав, на правом боку висят два кинжала
74|0000000075.jpg||Голова и верхняя часть груди девушки. Девушка расположена левым боком к зрителю и смотрит на него. Левая половина лица покрыта темно-зелеными хитиновыми наростами, левый глаз девушки целиком желтый. Девушка поправляет капюшон правой рукой, которая покрыта темно-зелеными хитиновыми наростами. Она одета в бледную темно-синюю одежду с ярко-красными угловатыми узорами
75|0000000076.jpg||Мужчина в кольчужном доспехе, который покрыт деревянными элементами, немного повернут вправо. Правой рукой он держит большую трубку и курит ее. Мужчина лысый и имеет больную белую юороду. Фон белый
76|0000000077.jpg||Антропоморфное существо с крыльями как у насекомого. Оно стоит согнувшись на небольшом холме, который покрыт гнилью. Существо одето в коричневый балахон, из которого через дырки выступают тонкие шупальца. Голова существа покрыта язвами, кожа существа имеет темно-розовые оттенки. Существо расположено левым боком к зрителю. Оно держит в руках что-то похожее на большую муху
77|0000000078.jpg||Армия викингов на снежном поле боя. Впереди расположен мужчина с голым торсом, мечом и топором в руках
78|0000000079.jpg||Воин в золото-красном доспехе, большом шлеме, с маленьким щитом в левой руке и большим топором в правой. За ним видны еще два похожих воина. На фоне видны две горы справа и слева, между ними светит рассветное солнце
79|0000000080.jpg||Армия воинов в синих доспехах с серебряными доспехами идет по черной каменистой огненной земле. Воины вооружены молотами и булавами. В центре идет воин со шлемом в виде черепа, в правой руке у него знамя в виже стоячего скелета, сжимающего в обеих руках меч. На переднем плане виден мужчина с перевязанным глазом, зашитым ртом и шипастой булавой в руках. На фоне видны облака огненных оттенков
80|0000000081.jpg||В центре рисунка расположены трое: полуголая женщина, парящая на землей, в одной ее руке расположена трость, а в другой – ярко светящийся предмет; длинноволосый мужчина в красном доспехе, вынимающий большой меч из ножен; согнувшийся дворф в сандалях и синей легкой одежде, обеими руками держащий крупный меч. Вокруг них насположены два огромных змееподобных красных существа с головами как у драконов. Местность пустынная, на фоне оранжевые облака
81|0000000082.jpg||Мужчина с одной ногой, одетый в темно-зеленый доспех покрытый гнилью. В руках Мужчина дерржит большой топор. Из его шеи торчат два выроста, похожих на длинные языки. На правом плече мужчинынаположено жултое существо, похожее на саламандру. Кожа мужчины очень болезненного цвета. Фон грязно-желтый
82|0000000083.jpg||Девушка в нагрудике и наплечнике на правой руке расположена правым боком к зрителю. В левой руке она держит деревянный посох с темно-зеленым навершием. На переднем плане расположен черный медведь с длинной мордой, со светло-серой пластиной на голове. Медведь закрывает собой ноги девушки. На фоне видно поле, покрытое травой
83|0000000084.jpg||Голова мужчины с короткой белой бородой, белыми волосами и полностью белыми глазами без зрачков. Мужчина повернул левым боком к зрителю. Над головой виден шелтый нимб. Фон белый
84|0000000085.jpg||Девушка в сложных золото-синих доспехах с плащом за спиной, в шлеме с крыльями. В левой руке девушка держит золотой меч. Девушка сидит верхом на рыже-белом грифоне. На фоне сверху видны оранжевые облака, снизу видна черная камениста земля
85|0000000086.jpg||Скелет легкой короне, в огруглом доспехе с оборванными кусками красной ткани на груди и спине. Скелет расположен левым боком к зрителю. Скелет держит в правой руке большую булаву, которая лежит на правом плече скелета. Фон грязных цветов
86|0000000087.jpg||Девушка с плотной черной одежде, над которой расположена темно-фиолетовая мантия. У девушки золотые наплечники, массивное золтое украшение на голове и калчан со стрелами за спиной. Девушка стоит в темно-сером помещении
87|0000000088.jpg||В центре рисунка расположен квадратный черный обелиск со светящимися зелеными символами. Вокруг него стоят четыре человека в массивной броне. Один из людей повернут к облеиску и прикасается к нему обеими руками. На переднем плане расположены два существа на длинных хвостах, с большими панцирями в верхней части тела, со множеством лап у головы и светящимися зелеными прожилками. Картинка в темны цветах, на фоне виднеются множества отдельных скал
